Year,Plot,Treatment,Subtreatment,Rainfall,SAMPLEID,SAND,SILT,CLAY,TEXTURE,Water Cap. in/ft,,ORGANIC C%,ORGANIC MATTER %,TOT N,CN RATIO ,CACO3 %,Sampled Date
2023,1,G,GC,,1G,83.1,9.38,7.5,SANDY LOAM,1.20-1.56,1.38,2.1,3.62,1750,12,0.3,45108
2023,1,G,GS,,1G,83.1,9.38,7.5,SANDY LOAM,1.20-1.56,1.38,2.1,3.62,1750,12,0.3,45108
2023,1,S,SC,,1S,75.2,14.8,10,SANDY LOAM,1.20-1.56,1.38,2.35,4.05,1910,12.3,0.16,45108
2023,1,S,SS,,1S,75.2,14.8,10,SANDY LOAM,1.20-1.56,1.38,2.35,4.05,1910,12.3,0.16,45108
2023,1,U,UC,,1U,74.4,14.4,11.3,SANDY LOAM,1.20-1.56,1.38,2.21,3.81,1810,12.2,0.99,45108
2023,1,U,UM,,1U,74.4,14.4,11.3,SANDY LOAM,1.20-1.56,1.38,2.21,3.81,1810,12.2,0.99,45108
2023,1,U,UMS,,1U,74.4,14.4,11.3,SANDY LOAM,1.20-1.56,1.38,2.21,3.81,1810,12.2,0.99,45108
2023,1,U,US,,1U,74.4,14.4,11.3,SANDY LOAM,1.20-1.56,1.38,2.21,3.81,1810,12.2,0.99,45108
2023,10,G,GC,,10G,68.8,16.3,15,SANDY LOAM,1.20-1.56,1.38,1.96,3.38,1460,13.4,0.15,45108
2023,10,G,GS,,10G,68.8,16.3,15,SANDY LOAM,1.20-1.56,1.38,1.96,3.38,1460,13.4,0.15,45108
2023,10,S,SC,,10S,68.8,13.8,17.5,SANDY LOAM,1.20-1.56,1.38,2.64,4.55,1990,13.3,0.21,45108
2023,10,S,SS,,10S,68.8,13.8,17.5,SANDY LOAM,1.20-1.56,1.38,2.64,4.55,1990,13.3,0.21,45108
2023,10,U,UC,,10U,56.3,23.8,20,SANDY CLAY LOAM,"1.68-2.16
",1.92,2.43,4.19,2020,12,0.15,45108
2023,10,U,UM,,10U,56.3,23.8,20,SANDY CLAY LOAM,"1.68-2.16
",1.92,2.43,4.19,2020,12,0.15,45108
2023,10,U,UMS,,10U,56.3,23.8,20,SANDY CLAY LOAM,"1.68-2.16
",1.92,2.43,4.19,2020,12,0.15,45108
2023,10,U,US,,10U,56.3,23.8,20,SANDY CLAY LOAM,"1.68-2.16
",1.92,2.43,4.19,2020,12,0.15,45108
