Year,Plot,Treatment,Subtreatment,ACAM,ACAM_d,AG,AG_d,AMSIN,AMSIN_d,AVEN,BRDI,BRDI_d,BRHO,BRHO_d,BRMA,BRNI,BRNI_d,BROMUS,CACO,CAEX,CAME,CEGL,CESO,CLPU,COAR,CRSE,CRSE_d,DELO,DELO_d,ELTR,ERBO,ERCI,ERCI_d,ERMO,ESCA,EUCH,FEBR,FEMY,FEMY_d,GR,HIIN,HIIN_d,HL,HOMU,HOMU_d,LAAM,LAGR,LUBI,MEPO,BG,PEGRAS,PLCA,RUCR,STME,TRGR,TRIFO,VEPE
2021,1,G,GC,0,0,0,0,0,0,0,0,0,22,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,9,10,60,0,0,0,0,0,0,17,0,0,0,0,0,0,0
2021,1,G,GS,0,0,0,0,3,0,0,1,0,14,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,4,59,0,0,0,0,0,0,23,0,0,0,0,0,0,0
2021,1,S,SC,0,0,0,1,0,0,0,3,0,14,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,2,4,60,0,0,0,0,0,0,21,0,0,0,0,0,0,0
2021,1,S,SS,0,0,0,1,0,0,0,7,0,14,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,2,2,56,0,0,0,0,0,0,17,0,0,0,0,0,0,0
2021,1,U,UC,0,0,5,1,0,0,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,1,0,0,3,2,56,0,0,0,0,0,0,30,0,0,0,0,0,0,0
2021,1,U,UM,0,0,2,0,0,0,0,0,0,10,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,10,5,56,0,0,0,0,0,0,21,0,0,0,0,0,0,0
2021,1,U,UMS,0,0,1,0,1,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,1,0,0,0,3,57,0,0,0,0,0,0,31,0,0,0,0,0,0,0
2021,1,U,US,0,0,1,1,1,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,2,0,0,1,0,50,0,0,0,0,0,0,26,0,0,0,0,0,0,0
2021,10,G,GC,0,0,6,5,0,0,0,17,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,57,7,0,0,0,0,0,21,0,0,0,0,0,0,0
2021,10,G,GS,0,0,4,4,0,0,0,13,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,60,0,0,0,0,0,0,25,0,0,0,0,0,0,0
